LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
5,12,2017,R64,Virginia,UNC Wilmington,-8.5,76,71,Orlando FL,677,444,,,,,,,,,,,,,,,,,
4,13,2017,R64,Florida,ETSU,-10,80,65,Orlando FL,96,539,,,,,,,,,,,,,,,,,
3,14,2017,R64,Baylor,New Mexico State,-12,91,73,Tulsa OK,325,670,,,,,,,,,,,,,,,,,
7,10,2017,R64,South Carolina,Marquette,-1.5,93,73,Greenville SC,98,639,,,,,,,,,,,,,,,,,
2,15,2017,R64,Duke,Troy,-19,87,65,Greenville SC,210,295,,,,,,,,,,,,,,,,,
8,9,2017,R64,Miami FL,Michigan State,-2,58,78,Tulsa OK,1169,762,,,,,,,,,,,,,,,,,
5,12,2017,R64,Iowa State,Nevada,-6.5,84,73,Milwaukee WI,300,1664,,,,,,,,,,,,,,,,,
4,13,2017,R64,Purdue,Vermont,-8.5,80,70,Milwaukee WI,188,739,,,,,,,,,,,,,,,,,
6,11,2017,R64,Creighton,Rhode Island,-1.5,72,84,Sacramento CA,1362,2614,,,,,,,,,,,,,,,,,
3,14,2017,R64,Oregon,Iona,-14.5,93,77,Sacramento CA,386,2500,,,,,,,,,,,,,,,,,
7,10,2017,R64,Michigan,Oklahoma State,-2,92,91,Indianapolis IN,214,645,,,,,,,,,,,,,,,,,
